id,title,content,url,pure_html,img_src
12,عن المستشفى,<p>صفحة عن المستشفى</p>,about-hospital,,pages/download.jfif
13,عيادة الأمراض النفسية والعصبية,"<p><strong>تقوم عيادة الامراض النفسية والعصبية بتشخيص وعلاج حالات الاضطرابات النفسية ، القلق النفسى ، المخاوف النفسية ، حالات الرعب و حالات الوسواس القهرى ، الاكتئاب النفسى والاكتئاب التفاعلى واكتئاب سن اليأس للنساء.</strong></p>
<p>&nbsp;</p>
<h3 style=""text-align: right;"">خدمات تقدمها العيادة</h3>
<ul>
<li style=""text-align: right;"">تشخيص وعلاج الاضطرابات العقلية وحالات الفصام والاضطراب الوجدانى ثنائى القطب بنوعيه.</li>
<li style=""text-align: right;"">تشخيص وعلاج حالات الاضطرابات السلوكية فى الاطفال ، وحالات التبول اللاإرادي وتلعثم اللسان / التوحد / التخلف العقلى / تشتت الانتباه.</li>
<li style=""text-align: right;"">تشخيص وعلاج حالات الادمان.</li>
<li style=""text-align: right;"">تشخيص وعلاج الامراض النفسية للمسنين وأمراض الشيخوخة والاكتئاب والفصام المتأخر.</li>
</ul>",psychiatric-clinic,,pages/Psychiatric-mental-health-nurse-practitioner-500x333.jpg
14,عيادة الغدد الصماء والكلى,"<p><strong>تقوم عيادات السكري والغدد الصماء بتقديم خدمات طبية متميزة لمراجعيها من خلال كفاءات طبية حاصلة على أعلى الشهادات العلمية من كبرى الجامعات العالمية.</strong></p>
<h3 style=""text-align: right;"">خدمات وحدة المناظير</h3>
<p style=""text-align: right;"">تقوم الوحدة بالتشخيص والعلاج والمتابعة والتثقيف وكذلك تعليم وتدريب المرضى على طرق قياس ومتابعة نسب السكر في الدم. يقوم الكادر الطبي بتلك العيادات بوضع برنامج متكامل خاص بمرضى السكري لمتابعة وضبط السكر لدى المريض بالتعاون مع أخصائية التغذية ، وذلك حرصاً منا على تقديم العناية الخاصة والاهتمام الشديد بمرضى السكر ، لما يحتاجه هذا المرض من ضرورة الرعاية الطبية المتميزة لتوفير حياة صحية أفضل وذلك وفقا للتوصيات الطبية العالمية . كما يتوافر بتلك العيادات مثقفة صحية يتبلور دورها في تقديم تثقيف مرضى السكر من خلال متابعة مستمرة على مدار الساعة ، وكيفية التعامل مع جرعات الأنسولين وأخذ القراءات وتسجيلها ، وكذلك التواصل مع المريض لضبط الجرعات بالشكل الذي يتناسب وحالته الصحية. كما تقدم الكفاءات الطبية بتلك العيادات الخدمات التشخيصية والعلاجية لاضطرابات الغدد وعلاج المشكلات الصحية الناتجة عن تلك الاضطرابات.</p>",endocrine-clinic,,pages/1.1.22.6_5p2a9973_pediatric_endocrinology_clinic.jpg
15,عيادة الروماتيزم,"<p><strong>تقدم عيادات أمراض الروماتيزم تشخيصًا دقيقًا وعلاجًا لأمراض الروماتيزم وهيا أكثر من 100 نوع من التهاب المفاصل، بما في ذلك الأمراض الشائعة مثل مرض الذئبة الحُمامية الجهازية، التهاب المفاصل الروماتويدي، التهاب الفقار المقسّط وامراض التهاب المفاصل الصدفي، التهاب المفاصل المصاحب لتقرحات القولون، تصلب الجلد والتهاب الانسجة، كما تعد أمراض التهاب الأوعية الدموية في الجهاز المناعي، هشاشة العظام ونقص فيتامين دال، خشونة المفاصل، النقرس والتهابات المفاصل والعضلات والاوتار المصاحبة لمرض السكر وغيرها.</strong></p>
<p>كما يتم تقديم العلاج المناسب للحالات وان تطلب اللعلاج البيلوجي وحقن المفصل تحت الموجات الصوتية بواسطة الاستشاري وتقديم العلاج الطبيعي.</p>",rheumatism-clinic,,pages/What-Are-Rheumatic-Diseases-1440x810.jpg
16,عيادة التغذية,"<p><strong>توفر وحدة التغذية العلاجية برامج غذائية صحية لكافة مراجعينا من مرضى السكر والقلب والكبد والكلى أو ممن يعانون زيادة في الوزن والسمنة وكذلك من يعانون من النحافة ، كما يتم تقديم تعليمات الحمية أثناء فترة الحمل والرضاعة وخاصة للسيدات اللواتي يعانين من السكر . إضافة لذلك فإن القسم يقوم بتقديم برنامج خاص للصحة والرشاقة لتلبية تطلعات السيدات في الحصول على جسم متناسق وصحي.</strong></p>
<h3 style=""text-align: right;"">الحالات التى يتم علاجها:</h3>
<ul>
<li style=""text-align: right;"">مرضى السكر.</li>
<li style=""text-align: right;"">الذين يعانون من أمراض الكلى.</li>
<li style=""text-align: right;"">إعداد نظام غذائي صحي ومتوازن بعد دراسة كل حالة.</li>
<li style=""text-align: right;"">تخفيض الوزن (السمنة).</li>
<li style=""text-align: right;"">إعداد برامج غذائية لمرضى السرطان.</li>
<li style=""text-align: right;"">مرضى ارتفاع ضغط الدم.</li>
<li style=""text-align: right;"">مصابو القلب وارتفاع نسبة الكوليسترول بالدم.</li>
<li style=""text-align: right;"">إعداد نظام غذائي للمرأة الحامل.</li>
<li style=""text-align: right;"">نصائح وقائية لمواجهة أمراض خطيرة مثل القلب والسكر والسمنة من خلال برامج غذائية مدروسة .</li>
<li style=""text-align: right;"">متابعة المرضى بعد العمليات الجراحية.​</li>
</ul>",nutrition-clinic,,pages/istockphoto-1204583112-612x612.jpg
17,عيادة الأمراض الجلدية والتناسلية,"<p><strong>عيادة&nbsp; متكاملة من الأطباء ذوي الخبرات الممتازة مع تقنيات متطورة عالية الجودة، تغطي تقديم التشخيص والعلاج لكافة حالات&nbsp; الأمراض الجلدية، &nbsp;بما في ذلك الجراحات المتخصصة.</strong></p>
<p>تهتم العيادة بتقديم عناية متكاملة للأمراض الجلدية والتناسلية، بما فيها علاج واختبارات تشخيصية ومتابعة لحالات الاضطرابات الجلدية مثل: التهابات الجلد الناتجة عن اللمس وعدوى الجلد والعلاج بالأشعة فوق البنفسجية وعلاج الصدفية والاضطرابات الأخرى المستجيبة للضوء وأمراض الأوعية الدموية السطحية وزرع الشعر واصلاح العيوب بالكولاجين وأمراض صبغة الجلد والبثور المزمنة وأمراض الجلد في الشيخوخة كما يقوم القسم بعلاج الأمراض التناسلية المعدية.</p>",dermatology-clinic,,pages/Copy-of-Copy-of-PHG-website-hero-images-1.webp
18,عيادة الأطفال,"<p><strong>نوفر في عيادة الأطفال جميع الخدمات والرعاية الطبية التي يحتاجها الأطفال منذ اللحظات الأولى عند الولادة، ثم متابعة نمو وتغذية الطفل، بالإضافة إلى خدمات الفحص والمتابعة الخاصة بأمراض الأطفال المختلفة، وكل هذه الخدمات الطبية تتم تحت إشراف أمهر أطباء الأطفال المؤهلين خصيصًا للتعامل مع الأطفال بمرونة ومرح.</strong></p>
<h3 style=""text-align: right;"">&nbsp;الخدمات التي تقدمها العيادة:</h3>
<ul>
<li style=""text-align: right;"">الفحص الشامل بعد الولادة.</li>
<li style=""text-align: right;"">قياس ومتابعة الصفراء لحديثي الولادة.</li>
<li style=""text-align: right;"">علاج مشاكل الرضاعة.</li>
<li style=""text-align: right;"">تشخيص ومتابعة وعلاج الأطفال المصابين بالسكري.</li>
<li style=""text-align: right;"">تشخيص وعلاج مشاكل الغدة الدرقية عند الأطفال.</li>
<li style=""text-align: right;"">علاج أمراض الجهاز التنفسي والجهاز الهضمي.</li>
<li style=""text-align: right;"">علاج التهاب الشعب الهوائية والالتهاب الرئوي.</li>
<li style=""text-align: right;"">علاج حساسية الأطفال والربو.</li>
<li style=""text-align: right;"">علاج الكحة المزمنة.</li>
<li style=""text-align: right;"">علاج الحمى الروماتيزمية على القلب.</li>
<li style=""text-align: right;"">علاج الإمساك والإسهال والقيء.</li>
<li style=""text-align: right;"">علاج الالتهاب الكبدي.</li>
<li style=""text-align: right;"">توفير التطعيمات للأطفال.</li>
</ul>",pediatric-clinic,,pages/istockphoto-690211056-170667a.jpg
19,عيادة الأنف والأذن والحنجرة,"<p><strong>يمتلك أطباء هذه المستشفى خبرات طويلة في تشخيص ومعالجة مشكلات أمراض الأنف والأذن والحنجرة سواء الطبية منها أو الجراحية. </strong></p>
<p>نختص في تشخيص ومعالجة مختلف الأمراض التي تصيب الرأس والعنق والأذن والأنف والحنجرة​​​، بالإضافة الى حالات خلل وظائف التوازن والتذوق والشم وكذلك أورام الرأس والعنق، كما أننا نقدم خدمات تقييم القدرات السمعية للبالغين والأطفال وأيضا تخطيط السمع للأطفال حديثي الولادة. يتم إجراء كافة التدخلات الجراحية المطلوبة بمهارة وكفاءة متميزة ونسب نجاح عالية، إذ يقوم أطباؤنا بإجراء عمليات تضخم اللحمية واللوزتين وتجميل الأنف وتعديل الحاجز الأنفى واستئصال الأورام وغيرها من العمليات.​</p>
<h3 style=""text-align: right;"">الحالات التى يتم علاجها:</h3>
<ul>
<li style=""text-align: right;"">تجميل الأنف.</li>
<li style=""text-align: right;"">تعديل الحاجز الأنفي.</li>
<li style=""text-align: right;"">تقييم السمع لدى الأطفال وحديثي الولادة.</li>
<li style=""text-align: right;"">طنين الاذن.</li>
<li style=""text-align: right;"">التهاب وحساسية الأنف والجيوب الأنفية.</li>
<li style=""text-align: right;"">تنظير الأنف والحلق والحنجرة.</li>
<li style=""text-align: right;"">إزالة الأجسام الغريبة.</li>
<li style=""text-align: right;"">استئصال اللوزتين واللحميات الأنفية.</li>
<li style=""text-align: right;"">علاج الشخير وانسداد النفس أثناء النوم.</li>
<li style=""text-align: right;"">تقويم انحراف الوتيرة والقرنيات الأنفية .</li>
<li style=""text-align: right;"">علاج بحة الصوت.</li>
<li style=""text-align: right;"">مشكلات الأحبال الصوتية.</li>
<li style=""text-align: right;"">مشاكل التنفس.</li>
<li style=""text-align: right;"">عمليات الغدد اللعابية.</li>
<li style=""text-align: right;"">ترقيع طبلة الأذن.</li>
<li style=""text-align: right;"">وضع أنابيب تهوية في طبلة الأذن.</li>
<li style=""text-align: right;"">عمليات الجيوب الأنفية بالمناظير.</li>
<li style=""text-align: right;"">تشخيص دوار الأذن الداخلية وعلاجه.</li>
</ul>",ent-clinic,,pages/ENT200-22-1024x682.jpg
20,عيادة جراحة المخ والأعصاب,"<p><strong>تختص هذه العيادة بتشخيص وعلاج أمراض المخ و الأعصاب &nbsp;ويوفر الإجراءات التشخيصية والعلاجية، ويتوفر في القسم أحدث الأجهزة التشخيصية تطوراً على صعيد المستشفيات الخاصة التي تعني بعلاج أمراض الجهاز العصبي، بالإضافة لاستخدام أحدث التقنيات الطبية التي تساعد &nbsp;إجراء عمليات جراحية دقيقة بمساعدة جراحين استشاريين وكادر طبي متميز.</strong></p>
<p>عيادة&nbsp; متكاملة من الأطباء ذوي الخبرات الممتازة مع تقنيات متطورة عالية الجودة، تغطي تقديم التشخيص والعلاج لكافة حالات&nbsp; المخ والأعصاب،&nbsp;بما في ذلك الجراحات المتخصصة.</p>
<h3 style=""text-align: right;"">خدمات عيادة المخ والأعصاب :</h3>
<ul>
<li style=""text-align: right;"">أمراض العمود الفقري, تشمل الجزء القطني والرقبي والظهري, مثل أمراض الديسك(فتق النواة الليبية)</li>
<li style=""text-align: right;"">إلتهاب المفاصل والفقرات التنكسي أو المناعي والرئوي</li>
<li style=""text-align: right;"">تشنجات العضلات أو التشوهات الخلقية</li>
<li style=""text-align: right;"">التشنجات العصبية و الصرع.</li>
<li style=""text-align: right;"">الجلطات الدماغية والشلل النصفي.</li>
<li style=""text-align: right;"">أمراض الأعصاب المركزية والطرفية والام الأعصاب (الخامس والسابع).</li>
<li style=""text-align: right;"">أمراض الذاكرة و الزهايمر وقصور الدورة الدموية المخية.</li>
</ul>",neurosurgery-clinic,,pages/50_Neurology-Neurosurgery-Clinc_7141a.jpg
21,عيادة الرمد,"<p><strong>تقدم عيادة الرمد في المستشفى أحدث الاجهزة لمعالجه مضاعفات مرض السكر على الشبكية وكذلك لمعالجه غشاء خلف العدسة وعلاج الماء الازرق الحاد .</strong><br />ويظل قسم العيون في تطور مستمر نظرا لسرعة التطور الطبي في ذلك التخصص الدقيق كافة الأجهزة والادوات التي بواسطتها يتم تشخيص وتقديم العلاج الدوائي والجراحي إذا لزم الأمر.</p>
<h3 style=""text-align: right;"">الخدمات التي تقدمها عيادة الرمد :</h3>
<ul>
<li style=""text-align: right;"">الكشف بالكمبيوتر.</li>
<li style=""text-align: right;"">كشف النظارة.</li>
<li style=""text-align: right;"">فحص قاع العين.</li>
<li style=""text-align: right;"">عمل العدسات الاصقة.</li>
</ul>",ophthalmology-clinic,,pages/KOVSC-slitlamp.jpg
22,عيادة جراحة العظام,"<p><strong>المستشفى مجهزة بأحدث ما توصل إليه العلم من تقنيات وبأعلى المواصفات العالمية، بالإضافة إلى توفير أفضل الخدمات التشخيصية والعلاجية للمرضى على مدار الساعة. يقوم بالإشراف على القسم نخبة من أفضل استشاريين جراحة العظام مع خبرة متميزة.</strong></p>
<p>عيادة جراحة العظام هي عيادة متكاملة من الأطباء ذوي الخبرات الممتازة مع تقنيات متطورة عالية الجودة ، تغطي تقديم التشخيص والعلاج لكافة حالات علاج وجراحات طب العظام، بما في ذلك الجراحات المتخصصة.</p>
<h3 style=""text-align: right;"">خدمات عيادة العظام :</h3>
<ul>
<li style=""text-align: right;"">اصابات غضاريف الركبة بالمنظار</li>
<li style=""text-align: right;"">تمزق الاربطة والام والتهابات الاوتار.</li>
<li style=""text-align: right;"">الرباط الصليبى الامامى والخلفى بالمنظار.</li>
<li style=""text-align: right;"">استبدال المفاصل والمفاصل الصناعية.</li>
<li style=""text-align: right;"">مضاعفات الكسور (بطء الالتحام &ndash; الاعوجاج)</li>
<li style=""text-align: right;"">جراحات أورام العظام.</li>
<li style=""text-align: right;"">الطب الرياضى وعلاج المفاصل والكسور.</li>
</ul>",orthopedic-clinic,,pages/iStock-623674402.jpg
23,عيادة القلب والإيكو,"<p><strong>تضم المستشفى أكثر أطباء القلب تميزاً فى منطقة الدلتا، ويقدم قسم أمراض القلب خدمة الحجز فى نفس اليوم، وبها يستطيع المريض مقابلة أحد الاستشاريين فى القسم والقيام بإجراء جميع فحوصات القلب فى نفس اليوم وتسلم نتائج التحاليل ثم مقابلة الأخصائى مرة أخرى فى نهاية اليوم ليفحص النتائج ويقوم بتسليم التشخيص وتوصيات العلاج للمريض.</strong><br /><br />كما نوفر أيضا برنامج شامل لإعادة تأهيل مرضى القلب الذين تمت لهم جراحات فى القلب، بدءً من الرياضة إلى النظام الغذائى ليتأكد الاستشارى من أنك تعرف وتمارس كل ما هو مطلوب لصحة وسلامة قلبك.</p>
<h3 style=""text-align: right;"">الحالات التى نقوم بعلاجها:</h3>
<h4 style=""text-align: right;""><strong>يقوم أخصائيوا القلب فى المستشفى بعلاج جميع أمراض القلب والأوعية الدموية بما فى ذلك :</strong></h4>
<ul style=""text-align: right;"">
<li>النوبات القلبية</li>
<li>جلطة عضلة القلب</li>
<li>سقوط الصمام الميترالى</li>
<li>مرض القلب الخلقى عند البالغين</li>
<li>مرض الشريان التاجى</li>
<li>ارتفاع الكولسترول فى الدم</li>
<li>مرض الشريان التاجى الوراثى</li>
</ul>
<h4 style=""text-align: right;""><strong>أعراض مرض القلب :</strong></h4>
<ul>
<li style=""text-align: right;"">الم أو تعب فى الصدر ( الذبحة الصدرية )</li>
<li style=""text-align: right;"">ضيق فى التنفس</li>
<li style=""text-align: right;"">خفقان</li>
<li style=""text-align: right;"">تورم الساقين</li>
</ul>",cardiac-clinic,,pages/65_Cardiology-Clinic_Consultation-Room_5834a.jpg
24,عيادة الأسنان,"<p><strong>تقوم عيادة طب الأسنان في المستشفى بفحص الأمراض التي تصيب تجويف الفم وعلاجها والوقاية منها. تلبي العيادة متطلبات العناية بالأسنان الأساسية ومنها عمليات الحشو، والحشوات الداخلية، والترصيعات الخارجية، وأطقم الأسنان الصناعية، والتيجان والجسور، وعلاج القناة الجذرية، وأمراض اللثة.</strong><br />يتم تعريف المرضى أثناء زيارتهم عيادة طب الأسنان بطرق العناية بصحة الفم وأهمية الذهاب بشكل دائم إلى طبيب الأسنان حسب احتياجاتهم الشخصية.</p>
<h3 style=""text-align: right;"">خدمات عيادة الأسنان :</h3>
<ul>
<li style=""text-align: right;"">الفحص الشامل للفم والأسنان.</li>
<li style=""text-align: right;"">التثقيف الوقائي لأمراض الفم والأسنان.</li>
<li style=""text-align: right;"">العلاج الوقائي للأسنان ( الفلورايد &ndash; طلاء الأسنان)</li>
<li style=""text-align: right;"">علاج وتنظيف اللثة.</li>
<li style=""text-align: right;"">حشوات الأسنان.</li>
<li style=""text-align: right;"">علاج جذور الأسنان.</li>
<li style=""text-align: right;"">خلع الأسنان اللبنية والدائمة ( البسيط والجراحي).</li>
<li style=""text-align: right;"">التحويل للخدمات التخصصية المتوفرة للأسنان.<br />(أسنان الأطفال &ndash; التقويم &ndash; علاج جذور الأسنان &ndash; علاج اللثة)</li>
</ul>
<h4 style=""text-align: right;"">علاج الحالات الطارئة:-</h4>
<ul>
<li style=""text-align: right;"">الالتهاب الشديد للأسنان واللثة</li>
<li style=""text-align: right;"">الألم الشديد للأسنان والفم.</li>
<li style=""text-align: right;"">نزيف ما بعد الخلع.</li>
<li style=""text-align: right;"">إصابات الفم وكسور الأسنان والفك.</li>
</ul>",dentist-clinic,,pages/dental-clinic.jpg
25,عيادة النساء والتوليد,"<p><strong>تقدم العيادت مجموعة خدمات نسائية شاملة ومتكاملة لمراجعاتها من كافة الفئات العمرية وتوليهن اهتماماً ورعاية منقطعة النظير ، وذلك بإعداد باقة من أرقى البرامج الصحية النوعية مثل برنامج متابعة الحمل وبرنامج صحة المرأة وكذلك الكشف المبكر عن سرطان عنق الرحم وسرطان الثدي ، إضافة إلى تقديم برامج توعوية وغذائية متخصصة للحوامل والمرضعات ، أما الولادة فتتم في جو من الأمان والراحة للأم والطفل ب، وسوف تمنحك المستشفى إقامة هادئة في أجنحة وغرف تنويم فاخرة ورعاية فائقة الجودة على مدار الساعة.</strong></p>
<h3 class=""title3"" style=""text-align: right;"">الحالات التى يتم علاجها:</h3>
<ul class=""listDetails"">
<li style=""text-align: right;"">تشخيص وعلاج كافة الأمراض النسائية.</li>
<li style=""text-align: right;"">الكشف المبكر عن أورام الثدي وعنق الرحم.</li>
<li style=""text-align: right;"">جراحات المناظير النسائية .</li>
<li style=""text-align: right;"">متابعة الحمل.</li>
<li style=""text-align: right;"">الإجهاض المتكرر.</li>
<li style=""text-align: right;"">تكيس المبايض.</li>
<li style=""text-align: right;"">الأورام الليفية.</li>
<li style=""text-align: right;"">البطانة الهاجرة.</li>
<li style=""text-align: right;"">العمليات التجميلية النسائية.</li>
<li style=""text-align: right;"">اضطرابات الهرمونات.</li>
</ul>",ob-gyn-clinic,,pages/4f2c3406-a8eb-4824-8bde-bb9c8012fc75.jpg
27,عيادة الجهاز الهضمي,"<p>تختص العيادة بتشخيص وعلاج أمراض المعدة والكبد ويوفر الإجراءات التشخيصية والعلاجية بالمنظار، بما فيه العمليات التوسيعية مثل منظار المرئ والمعدة والإثنى عشر والقنوات المرارية ومناظير القولون للكشف المبكر عن الأورام.</p>
<h3 style=""text-align: right;"">الحالات التى يتم علاجها</h3>
<ul>
<li style=""text-align: right;"">تشخيص وعلاج أمرض الجهاز الهضمي العلوي والسفلي ، المرىء ، المعدة ، الأمعاء الدقيقة والغليظة ، المرارة.</li>
<li style=""text-align: right;"">تشحيص وعلاج أمراض الكبد.</li>
<li style=""text-align: right;"">تشخيص وعلاج أمراض البنكرياس والقنوات المرارية.</li>
<li style=""text-align: right;"">علاج سوء الهضم وسوء الامتصاص الوراثي أو المكتسب وعلاج حساسية الجلوتين الهضمي.</li>
<li style=""text-align: right;"">الكشف المبكر لسرطانات الجهاز الهضمي وعلاجها في مراحله الأولية.</li>
<li style=""text-align: right;"">التشخيص المبكر لسرطانات الجهاز الهضمي والكبد والبنكرياس بواسطة دلائل الأورام.</li>
<li style=""text-align: right;"">القولون العصبي.</li>
<li style=""text-align: right;"">الارتجاع المريئي.</li>
</ul>",gastroenterology-clinic,,pages/gastro_center_photo_8_dd6a7.jpg
28,عيادة المسالك,"<p><strong>توفر عيادة المسالك البولية خدمات التشخيص والعلاج للمرضى الذكور والإناث من جميع الأعمار ولمرضى العيادات الخارجية والمرضى المنومين في المستشفى الذين يعانون من مشاكل المسالك البولية وحالات الغدة الكظرية البولية التناسلية وحالات العقم الحادة والمزمنة.</strong></p>
<p style=""text-align: right;"">وتقدم عيادة المسالك البولية رعاية طبية للمرضى البالغين والأطفال الذين يعانون من اضطرابات جهاز المسالك البولية. وتشمل الخدمات الطبية السرطانات التناسلية والبولية، ومراقبة المثانة، وأمراض الجهاز العصبي، واضطرابات البروسات، والضعف الجنسي، والعقم عند الذكور، وجراحة المناظير وجراحة الحصوات، وأورام المسالك البولية، والجراحة الروبوتية، والمسالك البولية النسائية، والجراحة الترميمية. يتمتع اخصائيونابتجربة وخبرة واسعة في إجراء عمليات جراحية معقدة للكلى والحالب والمثانة والإحليل والأعضاء التناسلية الذكرية.</p>",urology-clinic,,pages/Urology-5.jpg
